gvkey,year,lobbying,elobbying,green_lobbying,brown_lobbying
001004,2001,80000,0,0,0
001004,2002,120000,0,0,0
001004,2003,125000,0,0,0
001004,2004,120000,0,0,0
001004,2005,160000,0,0,0
001004,2006,160000,0,0,0
001004,2007,160000,0,0,0
001004,2008,160000,0,0,0
001004,2009,175000,0,0,0
001004,2010,160000,0,0,0
001004,2011,110000,0,0,0
001004,2012,110000,0,0,0
001004,2013,140000,0,0,0
001004,2014,95000,0,0,0
001004,2015,140000,0,0,0
001004,2016,120000,0,0,0
001004,2017,386250,0,0,0
001004,2018,280000,0,0,0
001004,2019,420000,0,0,0
001004,2020,1000000,0,0,0
001034,1999,160000,0,0,0
001034,2000,100000,0,0,0
001034,2001,5000,0,0,0
001034,2003,123500,0,0,0
001034,2004,170500,0,0,0
001034,2005,160000,0,0,0
001034,2006,140000,0,0,0
001034,2007,140000,100000,0,100000
001038,2004,40000,0,0,0
001045,1999,3975914,933333.3333333333,500000,0
001045,2000,3485762,600000,600000,0
001045,2001,4863966,795000,0,0
001045,2002,4458360,760503.7818181819,0,9818.181818181818
001045,2003,3374450,12000,0,0
001045,2004,3001600,0,0,0
001045,2005,4893503,0,0,0
001045,2006,5133936,0,0,0
001045,2007,6686400,466000,10000,0
001045,2008,7521175,1931666.666666667,0,365000
001045,2009,9997950,2454761.904761904,0,60000
001045,2010,9590000,1731428.571428572,20000,0
001045,2011,7794600,975416.6666666666,0,0
001045,2013,7157000,0,0,0
001045,2014,7974275,0,0,0
001045,2015,9135500,1428000,0,0
001045,2016,10825000,3598000,0,3538000
001045,2017,10472000,704600,0,0
001045,2018,4981000,1530000,0,1390000
001045,2019,1720000,0,0,0
001045,2020,1527000,85000,0,0
001056,2002,60000,0,0,0
001056,2003,80000,0,0,0
001056,2004,140000,0,0,0
001056,2005,180000,0,0,0
001056,2006,210000,0,0,0
001075,1999,815000,425000,0,400000
001075,2000,1015000,481785.7142857143,0,474285.7142857143
001075,2001,750000,377857.1428571428,5000,302857.1428571428
001075,2002,1365000,592500,0,532500
001075,2003,1600000,780000,0,720000
001075,2004,1885000,808888.8888888889,0,728888.8888888889
001075,2005,1960000,954444.4444444445,0,954444.4444444445
001075,2006,2240000,1943333.333333333,0,1733333.333333333
001075,2007,2055000,1519428.571428571,0,1399428.571428571
001075,2008,1275000,1026000,0,886000.0000000001
